material_id,formula_pretty,band_gap,MagpieData mean MendeleevNumber,MagpieData range MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mean Electronegativity,MagpieData range Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean CovalentRadius,MagpieData range CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mean NsValence,MagpieData range NsValence,MagpieData avg_dev NsValence,MagpieData mean NpValence,MagpieData range NpValence,MagpieData avg_dev NpValence,MagpieData mean NdValence,MagpieData range NdValence,MagpieData avg_dev NdValence,MagpieData mean NfValence,MagpieData range NfValence,MagpieData avg_dev NfValence,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,max ionic char,avg ionic char,band center
mp-1228499,BaMn2Fe4O11,0.9487000000000001,71.66666666666667,78.0,18.74074074074074,2.7305555555555556,2.55,0.8670987654320987,97.05555555555556,149.0,37.956790123456784,2.0,0.0,0.0,2.4444444444444446,4.0,1.9012345679012346,1.8888888888888888,6.0,2.518518518518518,0.0,0.0,0.0,2.0,2.4444444444444446,1.8888888888888888,0.0,0.31578947368421056,0.3859649122807018,0.2982456140350877,0.0,0.8032113561415081,0.1357012566556831,5.726410389984448
mp-2230251,K8MgTi2O8,1.3712,46.0,84.0,36.8421052631579,2.024736842105263,2.62,1.1918005540166206,137.52631578947367,137.0,60.23268698060942,1.5789473684210527,1.0,0.48753462603878117,1.6842105263157894,4.0,1.9501385041551247,0.21052631578947367,2.0,0.3767313019390582,0.0,0.0,0.0,1.5789473684210527,1.6842105263157894,0.21052631578947367,0.0,0.45454545454545453,0.4848484848484848,0.0606060606060606,0.0,0.8202341305415322,0.19354554524524537,4.153645464806078
mp-1216431,VCr(CuO2)2,0.9177000000000001,71.375,41.0,15.625,2.60625,1.81,0.83375,102.5,87.0,36.5,1.625,1.0,0.46875,2.0,4.0,2.0,3.5,10.0,3.625,0.0,0.0,0.0,1.625,2.0,3.5,0.0,0.22807017543859648,0.2807017543859649,0.49122807017543857,0.0,0.5591387152201337,0.12606478009325162,5.530617767511122
mp-1217800,Ta12MoO33,2.2586,76.02173913043478,39.0,15.751417769376182,2.9060869565217393,1.94,0.7660491493383741,95.04347826086956,104.0,41.67107750472589,1.9782608695652173,1.0,0.04253308128544433,2.869565217391304,4.0,1.6219281663516067,0.8913043478260869,5.0,1.2788279773156899,3.652173913043478,14.0,5.398865784499054,1.9782608695652173,2.869565217391304,0.8913043478260869,3.652173913043478,0.2106481481481481,0.3055555555555555,0.0949074074074074,0.38888888888888884,0.6097235715364788,0.11993358837338824,6.342930312360751
mp-1221217,Na3LiV4O12,3.157,61.75,86.0,30.3,2.5785,2.51,1.0337999999999998,101.5,100.0,42.6,1.8,1.0,0.31999999999999995,2.4,4.0,1.9200000000000004,0.6,3.0,0.96,0.0,0.0,0.0,1.8,2.4,0.6,0.0,0.375,0.5,0.125,0.0,0.792997622442975,0.16632421276619086,5.3763856342113785
mp-1101301,TeO3,2.1595,87.75,3.0,1.125,3.105,1.3399999999999999,0.5025,84.0,72.0,27.0,2.0,0.0,0.0,4.0,0.0,0.0,2.5,10.0,3.75,0.0,0.0,0.0,2.0,4.0,2.5,0.0,0.23529411764705882,0.47058823529411764,0.29411764705882354,0.0,0.3616700715049249,0.06781313840717343,6.965187432047535
mp-559387,Mn3V6(FeO6)4,1.4562,74.05405405405405,41.0,16.79474068663258,2.8191891891891894,1.89,0.8053761869978086,93.16216216216216,87.0,35.23739956172388,2.0,0.0,0.0,2.5945945945945947,4.0,1.8232286340394446,1.5405405405405406,6.0,1.9985390796201608,0.0,0.0,0.0,2.0,2.5945945945945947,1.5405405405405406,0.0,0.32599118942731276,0.42290748898678415,0.2511013215859031,0.0,0.5905846039144353,0.12368377297740782,5.911692951849026
mp-10392,Sr3CdPtO6,2.0334,61.72727272727273,79.0,29.305785123966942,2.4963636363636366,2.49,1.0294214876033059,114.63636363636364,129.0,53.05785123966943,1.9090909090909092,1.0,0.16528925619834703,2.1818181818181817,4.0,1.9834710743801656,1.7272727272727273,10.0,2.8264462809917354,1.2727272727272727,14.0,2.3140495867768593,1.9090909090909092,2.1818181818181817,1.7272727272727273,1.2727272727272727,0.2692307692307692,0.30769230769230765,0.24358974358974358,0.1794871794871795,0.7877573323062756,0.17060088768255124,5.379975299311604
mp-550925,NaScAs2O7,3.46,71.81818181818181,85.0,23.752066115702483,2.7936363636363635,2.51,0.8226446280991735,94.18181818181819,104.0,35.867768595041326,1.9090909090909092,1.0,0.16528925619834703,3.090909090909091,4.0,1.1570247933884297,1.9090909090909092,10.0,2.942148760330578,0.0,0.0,0.0,1.9090909090909092,3.090909090909091,1.9090909090909092,0.0,0.27631578947368424,0.4473684210526316,0.27631578947368424,0.0,0.792997622442975,0.1302922647228156,6.018170972809019
mp-1233312,Sr6Mg(Te4O11)2,1.6761,74.32432432432432,82.0,21.852447041636232,2.688918918918919,2.49,0.8931775018261505,104.51351351351352,129.0,45.79985390796202,2.0,0.0,0.0,3.2432432432432434,4.0,1.2271731190650108,2.1621621621621623,10.0,3.3893352812271735,0.0,0.0,0.0,2.0,3.2432432432432434,2.1621621621621623,0.0,0.27007299270072993,0.43795620437956206,0.29197080291970806,0.0,0.7877573323062756,0.14420842602090683,5.911302262888533
